date,float,Close/Last,Open,High,Low
10/20/2023,-173.960000000001,12983.81,13157.77,13177.35,12977.43
10/19/2023,-168.619999999999,13186.18,13354.8,13404.73,13157.33
10/18/2023,-125.380000000001,13314.3,13439.68,13499.74,13275.3
10/17/2023,113.879999999999,13533.75,13419.87,13602.25,13364.74
10/16/2023,114.17,13567.98,13453.81,13598.05,13447.17
10/13/2023,-206.360000000001,13407.23,13613.59,13619.54,13361.85
10/12/2023,-98.25,13574.22,13672.47,13714.14,13491.56
10/11/2023,40.4700000000012,13659.68,13619.21,13671.11,13549.29
10/10/2023,57.0300000000007,13562.84,13505.81,13659.63,13491.81
10/09/2023,158.02,13484.24,13326.22,13509.3,13277.48
10/06/2023,303.66,13431.34,13127.68,13472.27,13099.03
10/05/2023,-8.29000000000087,13219.83,13228.12,13251.18,13087.57
10/04/2023,143.09,13236.01,13092.92,13258.76,13072.51
10/03/2023,-170.210000000001,13059.47,13229.68,13280.04,13008.6
10/02/2023,89.7900000000009,13307.77,13217.98,13364.03,13204.08
09/29/2023,-118.389999999999,13219.32,13337.71,13382.98,13177.09
09/28/2023,157.91,13201.28,13043.37,13270.97,13025.11
09/27/2023,-22.5100000000002,13092.85,13115.36,13156.37,12963.16
09/26/2023,-117.349999999999,13063.61,13180.96,13199.13,13033.4
09/25/2023,98.7799999999988,13271.32,13172.54,13277.83,13132
09/22/2023,-75.3600000000006,13211.81,13287.17,13353.22,13200.64
09/21/2023,-104.08,13223.98,13328.06,13362.23,13222.56
09/20/2023,-241.130000000001,13469.13,13710.26,13727.81,13467.28
09/19/2023,28.75,13678.19,13649.44,13705.15,13578.87
09/18/2023,40.2800000000007,13710.24,13669.96,13751.28,13663.46
09/15/2023,-180.870000000001,13708.33,13889.2,13895.75,13684.24
09/14/2023,36.2899999999991,13926.05,13889.76,13957.57,13810.66
09/13/2023,-8.72999999999956,13813.59,13822.32,13868.57,13733.82
09/12/2023,-85.3299999999999,13773.61,13858.94,13913.6,13763.69
09/11/2023,33.8599999999988,13917.89,13884.03,13937.47,13805.13
09/08/2023,6.82000000000153,13761.53,13754.71,13843.37,13733.18
