,0
0,12888.28
1,12870
2,12850.22
3,12899.42
4,12804.73
5,12771.11
6,12807.92
7,12742.52
8,12755.64
9,12764.75
10,12658.19
11,12595.06
12,12440.04
13,12377.87
14,12405.81
15,12338.95
16,12582.77
17,12519.95
18,12464.23
19,12377.18
20,12349.37
21,12355.11
22,12198.74
23,12205.85
24,12094.4
25,12037.33
26,11881.17
27,11854.97
28,11904.71
29,11801.6
30,11899.34
31,11924.13
32,11829.29
33,11709.59
34,11786.43
35,11553.86
36,11713.78
37,11895.23
38,11890.93
39,11590.78
40,11160.57
41,10957.61
42,10911.59
43,11185.59
44,11004.87
45,11431.35
46,11358.94
47,11548.28
48,11506.01
49,11484.69
50,11516.49
51,11478.88
52,11671.56
53,11713.87
54,11768.73
55,11863.9
56,11876.26
57,11579.94
58,11420.98
59,11364.6
60,11154.6
61,11332.49
62,11075.02
63,11326.51
64,11167.51
65,11085.25
66,11117.52
67,10913.56
68,10672.27
69,10632.99
70,10963.64
71,10778.8
72,10793.28
73,10910.28
74,11050.47
75,11190.32
76,11056.65
77,10853.55
78,10919.59
79,11141.56
80,10847.69
81,11313.13
82,11458.1
83,12056.44
84,11939.67
85,11775.46
86,11695.63
87,11625.34
88,11665.06
89,11466.47
90,11379.72
91,11311.8
92,11264.95
93,11146.46
94,11210.84
95,11129.73
96,11019.3
97,11042.5
98,11012.24
99,10782.82
100,10968.36
101,11010.98
102,11108.07
103,10998.4
104,10941.17
105,10902.8
106,10745.27
107,10587.81
108,10542.94
109,10402.09
110,10536.27
111,10363.18
112,10461.42
113,10706.13
114,10680.36
115,10767.09
116,10503.19
117,10473.83
118,10550.49
119,10488.58
120,10390.84
121,10617.44
122,10547.75
123,10492.5
124,10343.89
125,10433.65
126,10207.63
127,10154.63
128,10058.77
129,9874.15
130,9757.22
131,10017
132,9909.17
133,10131.37
134,10056.47
135,9946.12
136,9943.05
137,9910.53
138,9895.87
139,9726.02
140,9588.81
141,9492.73
142,10020.35
143,9953.75
144,9924.74
145,9814.08
146,9615.81
147,9682.91
148,9608.37
149,9552.05
150,9489.87
151,9368.99
152,9412.36
153,9340.22
154,9324.59
155,9284.88
156,9375.78
157,9185.1
158,9234.83
159,9014.56
160,8943.72
161,8863.17
162,9002.55
163,9192.34
164,9121.32
165,8979.66
166,8854.39
167,8809.12
168,8710.71
169,8604.95
170,8889.55
171,8914.71
172,8607.73
173,8730.16
174,8634.52
175,8494.75
176,8495.38
177,8263.23
178,8560.73
179,8650.14
180,8532.36
181,8393.18
182,8515.74
183,8192.42
184,8153.58
185,8090.9
186,7887.26
187,7913.24
188,7373.08
189,7487.31
190,7360.58
191,7700.1
192,7774.15
193,7502.38
194,7797.54
195,7384.3
196,7417.86
197,6860.67
198,6879.52
199,7150.58
200,6989.84
201,7334.78
202,6904.59
203,7874.88
204,7201.8
205,7952.05
206,8344.25
207,7950.68
208,8575.62
209,8738.6
210,9018.09
211,8684.09
212,8952.16
213,8567.37
214,8566.48
215,8980.77
216,8965.61
217,9221.28
218,9576.59
219,9750.96
220,9817.18
221,9732.74
222,9731.18
223,9711.97
224,9725.96
225,9638.94
226,9628.39
227,9520.51
228,9572.15
229,9508.68
230,9467.97
231,9273.4
232,9150.94
233,9298.93
234,9275.16
235,9269.68
236,9139.31
237,9314.91
238,9402.48
239,9383.77
240,9370.81
241,9388.94
242,9357.13
243,9258.7
244,9251.33
245,9273.93
246,9178.86
247,9203.43
248,9129.24
249,9068.58
250,9071.46
251,9020.77
252,9092.19
